D:\MASSHUNTER\GCMS\1\DATA\STDH_SSL_2203.D Mon Mar 07 13:13:44 2022
Start of data points
4.09420	84985
4.10108	112011
4.10798	180799
4.11488	235453
4.12178	454364
4.12867	918053
4.13557	890301
4.14247	402332
4.14935	114967
4.15625	47900
4.16315	40093
4.17005	38588
4.17693	38261
4.18383	38423
4.19073	34917
4.19762	31597
4.20452	29136
4.21142	29561
4.21832	30374
4.22520	32838
4.23210	33196
4.23900	34310
4.24590	35571
4.25278	38020
4.25968	34777
4.26658	28527
4.27347	26523
4.28037	26408
4.28727	28779
4.29417	26361
4.30105	26403
4.30795	26253
4.31485	26128
4.32175	25905
4.32863	25208
4.33553	24675
4.34243	24530
4.34932	25823
4.35622	26346
4.36312	25737
4.37002	25269
4.37690	24617
4.38380	24324
4.39070	26242
4.39758	32439
4.40448	36802
4.41138	36041
4.41828	32320
4.42517	29967
4.43207	33343
4.43897	32564
4.44587	36320
4.45275	75491
4.45965	191300
4.46655	279001
4.47343	233462
4.48033	125587
4.48723	59838
4.49413	34478
4.50102	32800
4.50792	38781
4.51482	47043
4.52170	46845
4.52860	36395
4.53550	28543
4.54240	26012
4.54928	26914
4.55618	28653
4.56308	27214
4.56998	24972
4.57687	28941
4.58377	31926
4.59067	31158
4.59755	26433
4.60445	23123
4.61135	22571
4.61825	22330
4.62513	22279
4.63203	22327
4.63893	21322
4.64583	18973
4.65272	19311
4.65962	19412
4.66652	20067
4.67340	19571
4.68030	20605
4.68720	20896
4.69410	25529
4.70098	28064
4.70788	30365
4.71478	30014
4.72167	30546
4.72857	29481
4.73547	28595
4.74237	30612
4.74925	32451
4.75615	31497
4.76305	30852
4.76995	31954
4.77683	32582
4.78373	35900
4.79063	37029
4.79752	36163
4.80442	32154
4.81132	32438
4.81822	31136
4.82510	30842
4.83200	34752
4.83890	64343
4.84580	135552
4.85268	214944
4.85958	219896
4.86648	150716
4.87337	90179
4.88027	58942
4.88717	45716
4.89407	41140
4.90095	34537
4.90785	36269
4.91475	33884
4.92163	31557
4.92853	32121
4.93543	33357
4.94233	34699
4.94922	52297
4.95612	116360
4.96302	227178
4.96992	315229
4.97680	341745
4.98370	337872
4.99060	301990
4.99748	226230
5.00438	145807
5.01128	86053
5.01818	53940
5.02507	40532
5.03197	38007
5.03887	37100
5.04577	40367
5.05265	50694
5.05955	85886
5.06645	132523
5.07333	161348
5.08023	136796
5.08713	86312
5.09403	52138
5.10092	36854
5.10782	31338
5.11472	29897
5.12160	30828
5.12850	29836
5.13540	30371
5.14230	30727
5.14918	34899
5.15608	40212
5.16298	41504
5.16988	40205
5.17677	35188
5.18367	29468
5.19057	27107
5.19745	25934
5.20435	26383
5.21125	26141
5.21815	26456
5.22503	26056
5.23193	25589
5.23883	28818
5.24572	39058
5.25262	60340
5.25952	77825
5.26642	77375
5.27330	61045
5.28020	43991
5.28710	33050
5.29400	28592
5.30088	26652
5.30778	25099
5.31468	25925
5.32157	26475
5.32847	24830
5.33537	24163
5.34227	25378
5.34915	23101
5.35605	24415
5.36295	26382
5.36985	27672
5.37673	30078
5.38363	32675
5.39053	34187
5.39742	39434
5.40432	40741
5.41122	36456
5.41812	32890
5.42500	30218
5.43190	30188
5.43880	30551
5.44568	43242
5.45258	107541
5.45948	320324
5.46638	786579
5.47327	1426308
5.48017	1886498
5.48707	1784147
5.49397	1252117
5.50085	665753
5.50775	293644
5.51465	145467
5.52153	113606
5.52843	105434
5.53533	82736
5.54223	57292
5.54912	36818
5.55602	28664
5.56292	27200
5.56982	24126
5.57670	24290
5.58360	21969
5.59050	22133
5.59738	22583
5.60428	21714
5.61118	23299
5.61808	25033
5.62497	24137
5.63187	26053
5.63877	25117
5.64565	23112
5.65255	22885
5.65945	22626
5.66635	22853
5.67323	20955
5.68013	21487
5.68703	22127
5.69393	21615
5.70082	21143
5.70772	20429
5.71462	23228
5.72150	24147
5.72840	25798
5.73530	23838
5.74220	22814
5.74908	20879
5.75598	20707
5.76288	21476
5.76978	21227
5.77667	22766
5.78357	23738
5.79047	21641
5.79735	21225
5.80425	20338
5.81115	19132
5.81805	20372
5.82493	20010
5.83183	20027
5.83873	18375
5.84562	19951
5.85252	20212
5.85942	19170
5.86632	22451
5.87320	20237
5.88010	20897
5.88700	20006
5.89390	20365
5.90078	18928
5.90768	19000
5.91458	18914
5.92147	19948
5.92837	19192
5.93527	18570
5.94217	19497
5.94905	19814
5.95595	19763
5.96285	18218
5.96975	19629
5.97663	21645
5.98353	21143
5.99043	25782
5.99732	30071
6.00422	34387
6.01112	39170
6.01802	33551
6.02490	29116
6.03180	27356
6.03870	22489
6.04558	21896
6.05248	19685
6.05938	18258
6.06628	18241
6.07317	18228
6.08007	17938
6.08697	20082
6.09387	21239
6.10075	26259
6.10765	26692
6.11455	26594
6.12143	24743
6.12833	20716
6.13523	20266
6.14213	18179
6.14902	18247
6.15592	19277
6.16282	19350
6.16970	21727
6.17660	24306
6.18350	25248
6.19040	24334
6.19728	21920
6.20418	20099
6.21108	18600
6.21798	18144
6.22487	17921
6.23177	19353
6.23867	31905
6.24555	65829
6.25245	129003
6.25935	195389
6.26625	225288
6.27313	190222
6.28003	132246
6.28693	76273
6.29383	43483
6.30072	30998
6.30762	23804
6.31452	22950
6.32140	20943
6.32830	19658
6.33520	18958
6.34210	19432
6.34898	18581
6.35588	17927
6.36278	19164
6.36967	18613
6.37657	16966
6.38347	17747
6.39037	18327
6.39725	17193
6.40415	16003
6.41105	16425
6.41795	17535
6.42483	15964
6.43173	17013
6.43863	17712
6.44552	17430
