D:\MASSHUNTER\GCMS\1\DATA\DR_Q_Ca_202111_1.D Wed Aug 31 09:02:15 2022
Start of data points
4.09403,6237
4.10092,5435
4.10782,6676
4.11472,7681
4.12160,7255
4.12850,6787
4.13540,8319
4.14230,7912
4.14918,7762
4.15608,8032
4.16298,7947
4.16987,7840
4.17677,9224
4.18367,7857
4.19057,8485
4.19745,6854
4.20435,7804
4.21125,6379
4.21815,7018
4.22503,6781
4.23193,7007
4.23883,5909
4.24572,6215
4.25262,6035
4.25952,5652
4.26642,5469
4.27330,6512
4.28020,6443
4.28710,5345
4.29400,5233
4.30088,5011
4.30778,5552
4.31468,5028
4.32157,5572
4.32847,5798
4.33537,5537
4.34227,5713
4.34915,5436
4.35605,5416
4.36295,4705
4.36983,5190
4.37673,3835
4.38363,4824
4.39053,4798
4.39742,4568
4.40432,4216
4.41122,4415
4.41812,4676
4.42500,4158
4.43190,4960
4.43880,4871
4.44568,5610
4.45258,6410
4.45948,6147
4.46638,6232
4.47327,5964
4.48017,6021
4.48707,6129
4.49397,6809
4.50085,6465
4.50775,7052
4.51465,6024
4.52153,6429
4.52843,6137
4.53533,6169
4.54223,5544
4.54912,6201
4.55602,5645
4.56292,4972
4.56980,4647
4.57670,5470
4.58360,6262
4.59050,5977
4.59738,4903
4.60428,4605
4.61118,4840
4.61808,4605
4.62497,4614
4.63187,4364
4.63877,4937
4.64565,5793
4.65255,4288
4.65945,4404
4.66635,4156
4.67323,3896
4.68013,4771
4.68703,4428
4.69393,3896
4.70082,4649
4.70772,3540
4.71462,3666
4.72150,3840
4.72840,4639
4.73530,3817
4.74220,3540
4.74908,4499
4.75598,3983
4.76288,3363
4.76977,3253
4.77667,3402
4.78357,3867
4.79047,3383
4.79735,3619
4.80425,2479
4.81115,2808
4.81805,3211
4.82493,3442
4.83183,2949
4.83873,3762
4.84562,2439
4.85252,3482
4.85942,3106
4.86632,3293
4.87320,3120
4.88010,4186
4.88700,3457
4.89390,3713
4.90078,4939
4.90768,4440
4.91458,5517
4.92147,5640
4.92837,5493
4.93527,5462
4.94217,4974
4.94905,4182
4.95595,4790
4.96285,5022
4.96973,4172
4.97663,5198
4.98353,5242
4.99043,5010
4.99732,4488
5.00422,3770
5.01112,4245
5.01802,5403
5.02490,4898
5.03180,4106
5.03870,5370
5.04558,5208
5.05248,4362
5.05938,4222
5.06628,4067
5.07317,3774
5.08007,4244
5.08697,3362
5.09385,4382
5.10075,4272
5.10765,4138
5.11455,3729
5.12143,4379
5.12833,3955
5.13523,3236
5.14213,3212
5.14902,3773
5.15592,3538
5.16282,3193
5.16970,3549
5.17660,3604
5.18350,3825
5.19040,2903
5.19728,3466
5.20418,3540
5.21108,3917
5.21798,3386
5.22487,3229
5.23177,3287
5.23867,3334
5.24555,2496
5.25245,3478
5.25935,3207
5.26625,2844
5.27313,2649
5.28003,3719
5.28693,2784
5.29382,2285
5.30072,2389
5.30762,2449
5.31452,2228
5.32140,2714
5.32830,2168
5.33520,2618
5.34210,3086
5.34898,3198
5.35588,2028
5.36278,2546
5.36967,2544
5.37657,3214
5.38347,2389
5.39037,3130
5.39725,2457
5.40415,2534
5.41105,1863
5.41795,2426
5.42483,2827
5.43173,2377
5.43863,2180
5.44552,2555
5.45242,2144
5.45932,2805
5.46622,2813
5.47310,1981
5.48000,2632
5.48690,1891
5.49378,3103
5.50068,2283
5.50758,2795
5.51448,3060
5.52137,1881
5.52827,2891
5.53517,3105
5.54207,3194
5.54895,2711
5.55585,3967
5.56275,3773
5.56963,2851
5.57653,3353
5.58343,4715
5.59033,3101
5.59722,3947
5.60412,2830
5.61102,3562
5.61792,2630
5.62480,3088
5.63170,2919
5.63860,2372
5.64548,2996
5.65238,3127
5.65928,2395
5.66618,3383
5.67307,2323
5.67997,3268
5.68687,2258
5.69375,2851
5.70065,1850
5.70755,2406
5.71445,2498
5.72133,2689
5.72823,2041
5.73513,1936
5.74203,1824
5.74892,2794
5.75582,2631
5.76272,2117
5.76960,2443
5.77650,1592
5.78340,2642
5.79030,2524
5.79718,2270
5.80408,2485
5.81098,1954
5.81788,1861
5.82477,2125
5.83167,2215
5.83857,2134
5.84545,2033
5.85235,2496
5.85925,2125
5.86615,2117
5.87303,2428
5.87993,2222
5.88683,1804
5.89372,2563
5.90062,1733
5.90752,2327
5.91442,2312
5.92130,2412
5.92820,2984
5.93510,2451
5.94200,1744
5.94888,1899
5.95578,2696
5.96268,2233
5.96957,2221
5.97647,2018
5.98337,2390
5.99027,1752
5.99715,1886
6.00405,2732
6.01095,1010
6.01785,1773
6.02473,2253
6.03163,2649
6.03853,2188
6.04542,1915
6.05232,2134
6.05922,1982
6.06612,2369
6.07300,1894
6.07990,1661
6.08680,1028
6.09368,2253
6.10058,1386
6.10748,1537
6.11438,2197
6.12127,2187
6.12817,2046
6.13507,2125
6.14197,1891
6.14885,1877
6.15575,2006
6.16265,1824
6.16953,2147
6.17643,2142
6.18333,1905
6.19023,2249
6.19712,2126
6.20402,1920
6.21092,1931
6.21780,1757
6.22470,1621
6.23160,2279
6.23850,1973
6.24538,1691
6.25228,2147
6.25918,2233
6.26608,2898
6.27297,1737
6.27987,2129
6.28677,2026
6.29365,2116
6.30055,1979
6.30745,1821
6.31435,2213
6.32123,2436
6.32813,2468
6.33503,1375
6.34193,1579
6.34882,1851
6.35572,1733
6.36262,1810
6.36950,1801
6.37640,1451
6.38330,1875
6.39020,2376
6.39708,1669
6.40398,1838
6.41088,1670
6.41777,1925
6.42467,1840
6.43157,2527
6.43847,1938
6.44535,1281
