Peak,Compound,mean_RT,Fly_026,Fly_032,Fly_025,Fly_021,Fly_023,Fly_031,Fly_035,Fly_036,Fly_024,Fly_034
P117,,26.0977,26.097,26.104,26.097,26.09,26.097,26.104,26.097,26.097,26.097,26.097
P118,,26.269,,26.269,,,,,,,,
P119,,26.573,,26.573,,,,,,,,
P120,,26.69,,26.69,,,,,,,,
P121,,26.9464,26.939,27.042,26.938,26.939,26.939,26.946,26.932,26.925,26.925,26.939
P122,,27.094375,27.09,,27.104,27.104,27.09,27.097,27.097,27.083,27.09,
P123,,27.242,,27.29,,27.194,,,,,,
P124,,27.4608888888889,27.476,27.359,27.497,27.49,,27.49,27.435,27.483,27.428,27.49
P125,,27.538,,27.538,,,,,,,,
P126,C20_ane_NA,27.6031,27.607,27.6,27.6,27.601,27.608,27.607,27.607,27.6,27.6,27.601
P127,,27.8,,27.8,,,,,,,,
P128,,27.876,,27.876,,,,,,,,
P129,,27.9971,28,28,27.994,27.994,28.001,27.994,28,28,27.987,28.001
P130,,28.076,,28.076,,,,,,,,
P131,,28.379,,28.379,,,,,,,,
P132,,28.529,,28.538,,,28.525,,,,28.524,
P133,,28.6935,,,28.69,28.69,28.697,28.697,,,,
P134,C21_diene_NA,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828
P135,C21_ene_NA,28.9401,28.938,28.952,28.938,28.938,28.945,28.938,28.938,28.938,28.938,28.938
P136,C21_ene_NA,29.0378,29.042,29,29.042,29.042,29.042,29.042,29.042,29.042,29.042,29.042
P137,,29.152,29.152,29.152,29.152,29.152,29.152,29.152,29.152,29.152,29.152,29.152
P138,,29.214,,29.214,,,,,,,,
P139,,29.3208888888889,29.317,29.303,29.317,29.324,29.331,,29.324,29.324,29.324,29.324
P140,C21_ane_NA,29.4443,29.455,29.448,29.448,29.442,29.449,29.435,29.441,29.435,29.455,29.435
P141,,29.542375,29.552,29.517,,29.545,29.552,29.538,29.545,,29.545,29.545
P142,,29.6876666666667,,29.683,,,29.69,,,,29.69,
P143,,29.8401,29.835,29.841,29.841,29.848,29.842,29.842,29.835,29.841,29.841,29.835
P144,,30.0065,,29.958,,,30.055,,,,,
P145,,30.1713,30.166,30.255,30.152,30.152,30.166,30.166,30.166,30.159,30.179,30.152
P146,,30.4663333333333,,30.51,,30.448,,30.441,,,,
P147,,30.61375,,30.648,30.6,,,,30.614,,30.593,
P148,C22_ene_NA,30.698,30.703,,30.703,30.697,30.697,30.697,30.696,30.696,30.696,30.697
P149,C22_ene_NA,30.8352,30.828,30.944,30.814,30.814,30.841,30.814,30.848,30.814,30.807,30.828
P150,,30.993,,,30.993,,,,,,,
P151,,31.0718,,,31.076,31.069,,31.062,31.076,31.076,,
P152,C22_ane_NA,31.1769,31.179,31.186,31.179,31.179,31.179,31.172,31.172,31.179,31.172,31.172
P153,,31.395,,31.406,,,,,,31.386,31.393,
P154,,31.6069,31.607,31.606,31.607,31.607,31.607,31.607,31.607,31.607,31.607,31.607
P155,,31.7376666666667,31.731,31.758,,,31.724,,,,,
P156,,31.9901,31.986,32.041,31.986,31.986,31.986,31.986,31.986,31.986,31.979,31.979
P157,,32.089,,,,,,,,,32.089,
P158,,32.231,32.227,32.234,32.234,32.262,32.227,,32.227,32.227,32.22,32.221
P159,C23_diene_NA,32.3247,32.324,32.324,32.324,32.338,32.324,32.324,32.324,32.324,32.317,32.324
P160,C23_ene_NA,32.4389,32.455,32.427,32.455,32.462,32.427,32.448,32.413,32.441,32.434,32.427
P161,C23_ene_NA,32.5404,32.551,32.53,32.551,32.565,32.531,32.545,32.524,32.531,32.538,32.538
P162,,32.6688888888889,32.669,32.682,32.669,32.669,32.662,32.676,32.662,32.669,,32.662
P163,C23_ane_NA,33.012,33.096,32.979,33.068,33.069,32.972,33,32.944,32.993,33.027,32.972
P164,,33.0605,,33.061,,,33.062,33.076,33.041,33.068,,33.055
P165,,33.089,,,,,,,,,33.089,
P166,,33.3319,33.358,33.323,33.351,33.351,33.317,33.331,33.317,33.324,33.33,33.317
P167,C23_Me_11-,33.4499,33.468,33.441,33.468,33.462,33.448,33.427,33.441,33.448,33.448,33.448
P168,,33.56325,33.579,33.558,33.579,33.572,33.551,,,33.558,33.565,33.544
P169,,33.668,,33.668,,,,,,,,
P170,,33.8701428571429,33.875,33.882,,33.868,,33.868,33.861,33.875,,33.862
P171,C24_ene_NA,34.0423,34.048,34.054,34.048,34.048,34.041,34.034,34.027,34.041,34.041,34.041
P172,,34.1546,34.165,34.165,34.165,34.165,34.089,34.165,34.165,34.158,34.158,34.151
P173,,34.427,,34.427,,,,,,,,
P174,C24_ane_NA,34.4757,34.489,34.475,34.489,34.482,34.468,34.475,34.468,34.475,34.468,34.468
P175,,34.6682,34.654,34.661,,,34.689,,34.696,,34.641,
P176,,34.79,34.799,,34.785,,34.786,,,,,
P177,,34.93,34.937,34.937,34.93,34.93,34.93,34.93,34.923,34.93,34.923,34.93
P178,,35.0764,35.068,35.061,35.151,,35.061,,35.041,,,
P179,,35.2186,35.227,35.22,35.22,35.22,35.213,35.22,35.213,35.22,35.22,35.213
P180,,35.39075,35.365,,35.365,35.379,,,35.454,,,
P181,C25_ene_NA,35.55975,,,,,35.558,35.565,35.558,,,35.558
P182,C25_ene_NA,35.6475,35.661,35.64,35.668,35.661,35.648,35.648,35.627,35.647,35.634,35.641
P183,C25_ene_NA,35.726,35.765,35.751,35.716,,35.696,35.703,35.737,35.696,35.744,
P184,C25_ene_NA,35.7671666666667,,35.813,35.765,35.779,,35.751,,35.744,,35.751
P185,,35.8912222222222,35.889,35.916,35.896,35.896,35.882,35.889,,35.882,35.882,35.889
P186,C25_ane_NA,36.1793,36.234,36.185,36.234,36.227,36.165,36.165,36.137,36.151,36.158,36.137
P187,,36.2586666666667,,,,,36.268,36.268,36.247,36.261,36.261,36.247
P188,,36.3188,36.316,36.281,36.309,36.303,36.385,,,,,
P189,,36.5258,36.544,36.544,36.544,36.537,36.516,36.516,36.516,36.516,36.516,36.509
P190,,36.612,,36.612,,,,,,,,
P191,,36.688,,36.688,,,,,,,,
P192,,36.7962,36.806,36.806,36.806,36.806,36.799,36.792,36.792,36.771,36.792,36.792
P193,,36.9711111111111,36.978,36.978,36.978,36.978,36.965,36.971,36.964,36.964,36.964,
P194,C26_ene_NA,37.13075,,37.136,37.144,37.137,,37.13,37.116,37.13,37.123,37.13
P195,C26_ene_NA,37.2286,37.233,37.247,37.233,37.24,37.22,37.227,37.219,37.22,37.22,37.227
P196,C26_ane_NA,37.5222,37.537,37.536,37.53,37.53,37.516,37.516,37.516,37.516,37.509,37.516
P197,,37.7183333333333,,37.716,,,,37.716,,,37.723,
P198,,37.7955,,37.785,,,,,,37.806,,
P199,,37.885,37.895,37.881,37.882,,37.882,,,,,
P200,,37.9989,38.006,38.005,37.999,37.999,37.999,37.999,37.992,37.999,37.992,37.999
P201,,38.095,38.102,38.102,38.102,38.095,38.095,38.088,,38.095,38.081,38.095
P202,,38.1766,38.185,38.185,38.178,38.178,38.171,38.178,38.171,38.178,38.171,38.171
P203,,38.3713333333333,,,,,38.42,,38.268,,38.426,
P204,C27_ene_NA,38.6164,38.633,38.612,38.626,38.626,38.619,38.619,38.605,38.612,38.599,38.613
P205,C27_ene_NA,38.7228,38.743,38.722,38.737,38.744,38.695,38.73,38.716,38.709,38.709,38.723
P206,,38.819,,38.819,,,,,,,,
P207,C27_ane_NA,39.1131,39.171,39.171,39.143,39.13,39.116,39.081,39.13,39.081,39.047,39.061
P208,,39.2379,39.268,39.274,39.254,39.247,39.24,39.226,39.247,39.219,39.198,39.206
P209,C27_Me_11;13-,39.4266,39.447,39.446,39.433,39.433,39.426,39.419,39.426,39.419,39.405,39.412
P210,,39.6564,39.647,39.646,39.681,39.64,39.661,39.688,39.66,39.626,39.654,39.661
P211,,39.808625,39.833,,39.798,39.812,39.812,39.778,39.805,,39.826,39.805
P212,,39.9975555555556,40.012,,40.005,39.998,40.005,40.005,39.985,39.998,39.978,39.992
P213,,40.0936,40.123,40.088,40.116,40.109,40.081,40.109,40.081,40.074,40.067,40.088
P214,C28_ane_NA,40.3451,40.357,40.364,40.35,40.343,40.343,40.343,40.35,40.336,40.329,40.336
P215,,40.6202,40.681,40.55,,,40.674,,,40.667,40.529,
P216,,40.766,40.778,40.777,40.771,40.764,40.764,40.764,40.764,40.764,40.757,40.757
P217,,40.8535,,40.867,,,,,,,40.84,
P218,,41.0036,41.005,41.019,41.005,41.005,40.998,40.998,41.005,40.998,40.998,41.005
P219,,41.1072,41.115,41.108,41.102,41.109,,,41.102,,,
P220,,41.205,,41.205,,,,,41.219,,41.191,
P221,C29_ene_NA,41.3898,41.412,41.398,41.398,41.391,41.391,41.391,41.398,41.377,41.364,41.378
P222,C29_ene_NA,41.448,,41.46,,,41.453,,41.446,,,41.433
P223,C29_ene_NA,41.4971666666667,41.509,,41.508,41.502,,41.495,,41.481,,41.488
P224,C29_ane_NA,41.7636,41.812,41.832,41.77,41.778,41.778,41.722,41.777,41.736,41.702,41.729
P225,,41.961,41.977,41.991,41.957,41.971,41.964,41.95,41.964,41.943,41.943,41.95
P226,C29_Me_11;13-,42.0974,42.108,42.115,42.101,42.102,42.095,42.088,42.101,42.088,42.088,42.088
P227,,42.219,,,,,,,,,42.219,
P228,,42.3438571428571,42.357,42.356,42.343,42.336,,42.343,,42.336,42.336,
P229,,42.4816,42.481,42.508,42.474,42.481,42.488,42.474,42.488,42.474,42.467,42.481
P230,C30_ene_NA,42.7106666666667,42.743,42.701,42.736,42.729,42.736,42.681,42.646,42.688,,42.736
P231,C30_ene_NA,42.798,,42.805,42.791,42.798,,,,,,
P232,,42.8648,42.867,42.88,42.867,42.867,42.86,42.867,42.867,42.86,42.86,42.853
P233,C30_ane_NA,42.9819,42.984,42.998,42.977,42.984,42.977,42.984,42.984,42.977,42.977,42.977
P234,,43.246,,43.246,,,,,,,,
P235,,43.3545714285714,43.363,43.342,,43.357,43.364,43.35,,43.356,,43.35
P236,,43.4628888888889,43.446,43.522,43.453,43.439,43.453,43.453,43.446,,43.515,43.439
P237,C31_diene_NA,43.649,43.646,43.653,43.653,43.646,43.653,43.646,43.646,,,
P238,C31_diene_NA,43.7345,43.736,43.749,43.736,43.743,43.736,43.729,43.736,43.729,43.722,43.729
P239,,43.8591111111111,43.86,43.866,43.86,43.853,43.86,43.853,43.867,43.86,,43.853
P240,C31_ene_NA,43.9476,43.956,43.984,43.943,43.95,43.957,43.943,43.956,43.929,43.922,43.936
P241,C31_ene_NA,44.0396,44.046,44.08,44.039,44.046,44.046,44.025,44.046,44.025,44.018,44.025
P242,C31_ane_NA,44.2715,44.294,44.349,44.267,44.274,44.274,44.246,44.273,44.253,44.239,44.246
P243,,44.529,,,,,44.529,,,,,
P244,C31_Me_13;15-,44.6058,44.611,44.618,44.604,44.598,44.605,44.605,44.611,44.604,44.604,44.598
P245,,44.732,,44.728,,44.736,,,,,,
P246,,44.89,44.887,44.894,,44.88,44.88,44.922,44.88,44.887,,
P247,,44.9405,,44.949,44.935,,,,,,44.935,44.943
P248,C32_ene_NA,45.1874,45.198,45.211,45.184,45.184,45.191,45.177,45.156,45.191,45.191,45.191
P249,,45.344,45.342,45.349,,45.336,45.349,,,,,
P250,,45.4082,45.411,45.425,45.404,45.404,45.411,45.404,45.404,45.404,45.404,45.411
P251,,45.473,,45.473,,,,,,,,
P252,,45.6334444444444,45.639,45.652,45.632,45.632,45.632,45.625,45.632,45.632,,45.625
P253,,45.839,45.839,45.825,45.846,45.839,,,45.846,,,
P254,,46.119,46.122,46.135,46.115,46.115,46.122,46.122,46.121,46.108,46.115,46.115
P255,C33_ene_NA,46.3796,46.384,46.438,46.377,46.37,46.377,46.37,46.377,46.37,46.363,46.37
P256,C33_ene_NA,46.46425,46.466,,,,46.473,,,46.452,46.466,
P257,C33_ane_NA,46.6396,46.639,46.666,46.639,46.639,46.639,46.639,46.632,46.639,46.632,46.632
P258,,46.795,46.797,46.749,46.79,46.797,46.804,46.797,46.797,46.79,46.839,46.79
P259,,47.0144,47.018,47.024,47.018,47.011,47.011,47.018,47.011,47.018,47.004,47.011
P260,,47.1245,,,,,47.135,,,,47.114,
P261,,47.25575,47.28,47.266,,,,,47.252,,47.225,
P262,,47.3841,47.383,47.452,47.376,47.377,47.377,47.377,47.383,47.376,47.37,47.37
P263,,47.487,,,,,,,,,47.487,
P264,,47.6571428571429,47.666,,,47.659,47.659,47.645,,47.666,47.659,47.646
P265,,47.797,47.79,47.804,47.797,47.79,47.79,,47.811,47.79,47.804,
P266,,47.907,,47.907,,,,,,,,
P267,,48.214,,48.176,,,,,,,48.252,
P268,,48.364,48.369,48.39,48.376,48.363,48.363,48.356,48.369,48.349,48.349,48.356
P269,,48.5601666666667,48.604,48.535,,48.583,48.59,,48.604,,48.445,
P270,,48.676,,48.659,,,,,,,48.693,
P271,,48.866,48.887,48.81,48.887,48.866,48.873,48.88,48.88,48.873,48.838,48.866
P272,,49.052,,49.052,,,,,,,,
P273,,49.2315,49.273,49.19,,,,,,,,
P274,,49.369,,49.369,,,,,,,,
P275,,49.691,,49.79,,,,,49.569,,49.714,
P276,,49.8891428571429,49.907,,49.886,49.893,49.88,,,49.879,49.879,49.9
P277,,50.0256,50.017,50.038,,,50.031,50.018,,,50.024,
P278,,50.183,,50.183,,,,,,,,
P279,,50.7,,50.7,,,,,,,,
P280,,50.9116666666667,,50.996,,,,50.873,,,,50.866
P281,,51.3585,,51.431,51.286,,,,,,,
P282,,51.658,,51.658,,,,,,,,
P283,,52.161,52.169,52.168,52.155,52.148,52.162,,52.169,52.141,,52.176
P284,,52.486,52.472,,52.458,,52.486,52.576,,,,52.438
P285,,52.761,,52.761,,,,,,,,
P286,,53.6836666666667,,,,,53.665,53.686,,53.7,,
P287,,53.872,,,53.886,,,,,,,53.858
P288,,54.9088,54.892,54.892,54.954,54.934,54.872,,,,,
P289,,55.9081,55.899,55.906,55.899,55.92,55.92,55.92,55.906,55.92,55.892,55.899
P290,,56.4405,56.444,,,,56.437,,,,,
P291,,57.5265,57.568,,57.464,57.458,,,57.616,,,
