Peak,Compound,mean_RT,Fly_009,Fly_010,Fly_008,Fly_007,Fly_011,Fly_013,Fly_014,Fly_012,Fly_015,Fly_003
P213,,46.121,46.115,46.129,46.128,46.128,46.122,46.115,46.122,46.122,46.114,46.115
P214,C33_ene_NA,46.3746,46.363,46.404,46.39,46.383,46.37,46.37,46.37,46.37,46.363,46.363
P215,,46.496,46.494,46.515,46.514,46.514,46.494,46.48,46.494,46.501,46.494,46.46
P216,,46.6105,,46.625,46.597,46.639,46.584,46.584,46.584,46.632,,46.639
P217,,46.801,46.797,46.818,46.811,46.811,,46.797,46.804,46.804,46.783,46.784
P218,,47.018,47.032,47.025,47.032,47.018,47.011,47.018,47.004,47.018,47.011,47.011
P219,,47.1384,47.135,47.142,47.142,47.135,47.128,47.121,47.142,47.114,47.121,47.204
P220,,47.2772,,47.28,47.273,47.273,,,,47.287,47.273,
P221,,47.4543333333333,,,47.466,47.438,,,,,,47.459
P222,,47.658,47.659,,47.673,,47.666,47.652,47.652,,47.652,47.652
P223,,47.7443333333333,,,,47.735,,,,47.728,,47.77
P224,,47.7993333333333,47.804,47.811,47.804,47.804,47.797,47.797,47.79,47.797,47.79,
P225,,48.142,,,,48.142,,,,,,
P226,,48.3745555555556,,48.383,48.383,48.376,48.376,48.363,48.383,48.369,48.362,48.376
P227,,48.4485,,,,48.452,,,,48.445,,
P228,,48.5938888888889,48.59,48.597,48.597,48.597,48.597,48.59,48.59,48.59,48.597,
P229,,48.697,48.694,,,48.707,,,,48.694,48.693,
P230,,48.838,,,,,,,,,48.838,
P231,,48.9101111111111,48.914,48.907,48.9,48.914,48.907,48.907,48.914,48.914,48.914,
P232,,49.204,49.204,,,,,,,,,
P233,,49.466,,49.466,,,,,,,,
P234,,49.686,,,,49.686,,,,,,
P235,,49.8845,,49.88,,49.893,,,,49.893,49.872,
P236,,50.0497142857143,50.148,50.031,50.086,50.031,,,,50.031,50.017,50.004
P237,,50.7953333333333,50.81,50.797,,,50.81,,50.769,50.79,50.796,
P238,,51.121,51.121,,,,,,,,,
P239,,51.4,,51.39,,,51.41,,,,,
P240,,51.817,,,,,,51.776,,,51.858,
P241,,52.1648,52.176,52.155,52.155,,52.162,,52.176,,,
P242,,52.451,,,,52.451,,,,,,
P243,,52.72,52.72,,,,,,,,,
P244,,53.1945,53.148,53.134,,,53.217,,,,53.279,
P245,,53.6615,,,,,,53.665,,,,53.658
P246,,54.568,,,,,,,54.568,,,
P247,,55.113,55.113,,,,,,,,,
P248,,55.7335,,,55.747,,,55.72,,,,
P249,,55.9021428571429,55.927,55.906,,55.858,55.892,,,55.913,55.913,55.906
P250,,56.438,56.451,56.437,56.451,,56.444,56.43,56.423,,56.43,
P251,,57.3745,57.333,57.347,57.416,57.402,,,,,,
P252,,58.182,58.182,,,,,,,,,
P253,,58.871,,,,,,,,58.871,,
