Peak,Compound,mean_RT,Fly_020,Fly_005,Fly_016,Fly_017,Fly_018,Fly_002,Fly_004,Fly_006,Fly_001,Fly_019
P89,,23.9735,,23.98,,,,,23.967,,,
P90,,24.0526,24.049,24.056,24.056,24.056,24.056,24.049,24.056,24.05,24.049,24.049
P91,,24.2711428571429,24.36,24.27,,24.291,24.27,,24.16,24.284,24.263,
P92,,24.43725,24.436,24.429,24.442,24.435,,24.442,24.435,24.443,,24.436
P93,,24.5035,,24.511,24.504,24.511,24.504,24.504,24.498,24.505,,24.491
P94,,24.6493333333333,24.629,24.636,24.635,24.628,24.636,24.629,24.773,24.622,,24.656
P95,,25.025,25.056,25.056,25.001,,,25.001,,25.056,24.98,
P96,C19_ene_NA,25.1842,25.187,25.187,25.187,25.18,25.18,25.187,25.18,25.187,25.187,25.18
P97,,25.3383,25.332,25.346,25.332,25.332,25.346,25.339,25.346,25.339,25.332,25.339
P98,,25.5075,25.401,25.566,,,25.573,,25.49,,,
P99,,25.635,25.635,,,,,,,,,
P100,C19_ane_NA,25.6985,25.697,25.697,25.697,25.697,25.704,25.697,25.704,25.698,25.697,25.697
P101,,26.0963,26.097,26.097,26.097,26.097,26.09,26.097,26.097,26.097,26.097,26.097
P102,,26.29,,26.29,,,,,,,,
P103,,26.5285,,,,,,26.532,,,26.525,
P104,,26.9435,26.946,26.939,26.945,26.945,26.939,26.959,26.932,26.932,26.959,26.939
P105,,27.214,,,,27.214,,,,,,
P106,,27.4458,,,,27.483,,27.476,27.442,,27.407,27.421
P107,C20_ane_NA,27.6038,27.607,27.607,27.607,27.6,27.601,27.607,27.607,27.608,27.6,27.594
P108,,27.9963,27.994,27.994,28,27.993,28,27.994,28,27.994,28,27.994
P109,,28.152,,,,28.152,,,,,,
P110,,28.357,28.325,,,,,,28.373,,28.373,
P111,,28.531,28.531,,,,,,,,,
P112,,28.7031111111111,28.69,28.697,,28.697,28.697,28.697,28.711,28.697,28.752,28.69
P113,,28.8233333333333,,28.828,28.821,,,,,,,28.821
P114,C21_ene_NA,28.9352,28.931,28.938,28.938,28.938,28.931,28.938,28.938,28.938,28.931,28.931
P115,,29.04525,29.049,29.042,29.035,29.042,29.055,29.042,29.055,,,29.042
P116,,29.1499,29.152,29.152,29.152,29.152,29.145,29.152,29.145,29.152,29.145,29.152
P117,C21_ane_NA,29.4411,29.442,29.455,29.442,29.435,29.442,29.435,29.448,29.449,29.435,29.428
P118,,29.533,29.538,29.531,29.531,,29.538,29.524,29.545,,,29.524
P119,,29.6837,29.683,29.69,29.683,29.676,29.683,29.683,29.683,29.69,29.683,29.683
P120,,29.8355555555556,29.835,29.842,29.841,29.828,29.835,29.841,29.835,29.828,29.835,
P121,,29.969,,29.966,,,,29.972,,,,
P122,,30.0631666666667,30.076,30.062,,30.069,30.062,,,30.062,30.048,
P123,,30.1731,30.179,30.166,30.186,30.172,30.173,30.2,30.172,30.166,30.172,30.145
P124,,30.4441428571429,30.441,30.441,,30.441,30.455,,,30.448,30.441,30.442
P125,,30.5883333333333,30.6,30.586,30.6,30.586,,30.586,,,30.572,
P126,C22_ene_NA,30.6973,30.697,30.697,30.703,30.696,30.697,30.703,30.69,30.697,30.696,30.697
P127,,30.8398,30.835,30.841,,,30.841,,30.841,30.841,,
P128,,31.0713333333333,31.062,31.069,31.083,31.069,31.076,,31.076,31.062,31.076,31.069
P129,C22_ane_NA,31.1741,31.179,31.179,31.172,31.179,31.172,31.172,31.172,31.172,31.172,31.172
P130,,31.3283333333333,31.31,,,,31.296,,31.379,,,
P131,,31.6063,31.607,31.607,31.607,31.607,31.607,31.607,31.607,31.607,31.607,31.6
P132,,31.717,,,31.717,31.71,31.724,31.717,31.724,,,31.71
P133,,31.9797,31.979,31.986,31.979,31.979,31.972,31.986,31.986,31.972,31.979,31.979
P134,,32.2312,32.276,32.234,32.22,32.227,32.22,32.22,32.22,32.241,32.227,32.227
P135,C23_diene_NA,32.3201111111111,32.331,32.324,32.317,32.317,32.317,32.317,32.317,,32.324,32.317
P136,C23_ene_NA,32.4163,32.441,32.427,32.42,32.42,32.414,32.413,32.407,32.407,32.407,32.407
P137,C23_ene_NA,32.5219,32.531,32.531,32.524,32.524,32.524,32.517,32.517,32.517,32.517,32.517
P138,,32.6596666666667,32.662,32.662,32.662,32.662,32.648,32.662,32.655,32.662,,32.662
P139,C23_ane_NA,32.9506,33.048,32.958,32.972,32.979,32.944,32.965,32.903,32.903,32.91,32.924
P140,,33.036625,,33.048,33.055,33.055,33.041,,33.027,33.02,33.02,33.027
P141,,33.103,33.103,,,,,,,,,
P142,,33.3128,33.338,33.317,33.317,33.317,33.31,33.317,33.303,33.303,33.303,33.303
P143,,33.4403,33.448,33.441,33.441,33.441,33.434,33.448,33.434,33.434,33.441,33.441
P144,,33.6615,,33.703,,33.558,,33.703,,,,33.682
P145,,33.8602,,33.855,,33.875,,33.861,33.848,33.862,,
P146,C24_ene_NA,34.0361,34.055,34.034,34.041,34.034,34.034,34.034,34.034,34.034,34.034,34.027
P147,,34.1475,,,,,,,34.144,34.151,,
P148,,34.2754,34.248,,,34.248,,,34.399,34.234,,34.248
P149,C24_ane_NA,34.4668,34.482,34.468,34.468,34.468,34.468,34.468,34.461,34.462,34.468,34.455
P150,,34.6383333333333,,,,34.648,,,34.661,,34.606,
P151,,34.78375,34.792,,,,34.779,,,34.779,34.785,
P152,,34.9252,34.923,34.93,34.93,34.923,34.923,34.923,34.93,34.93,34.923,34.917
P153,,35.0666,,,35.061,35.137,35.054,,35.054,,35.027,
P154,,35.2235,35.22,35.22,35.22,35.213,35.227,35.22,35.241,35.241,35.22,35.213
P155,,35.4095,,,,35.468,35.351,,,,,
P156,C25_diene_NA,35.561,35.572,35.565,35.565,35.565,35.558,35.551,,,,35.551
P157,C25_ene_NA,35.6385,35.668,35.647,35.661,35.654,35.641,35.627,35.62,35.613,35.634,35.62
P158,C25_ene_NA,35.7362222222222,35.758,35.737,35.744,35.744,,35.73,35.73,35.723,35.737,35.723
P159,C25_ane_NA,35.882,35.889,35.882,,,,35.875,,,,
P160,,36.146,36.247,36.172,36.185,36.164,36.151,36.137,36.089,36.089,36.13,36.096
P161,,36.249125,,36.268,36.275,36.261,36.254,36.247,36.234,36.227,,36.227
P162,,36.3675714285714,36.316,36.385,36.392,,36.385,,36.365,36.372,36.358,
P163,,36.5154,36.551,36.523,36.523,36.516,36.516,36.509,36.502,36.509,36.509,36.496
P164,,36.7948,36.813,36.792,36.799,36.792,36.792,36.82,36.785,36.778,36.792,36.785
P165,,36.9635555555556,36.978,36.964,36.964,36.964,36.964,36.958,36.958,36.971,,36.951
P166,C26_ene_NA,37.1253333333333,37.137,37.13,,37.123,,37.123,,,37.123,37.116
P167,,37.2129,37.233,37.213,37.213,37.206,37.22,37.213,37.213,37.22,37.213,37.185
P168,,37.358,37.358,,,,,,,,,
P169,C26_ane_NA,37.5139,37.523,37.523,37.516,37.509,37.516,37.516,37.509,37.509,37.516,37.502
P170,,37.709,,,,37.709,,,,,,
P171,,37.8806,,37.882,37.882,,37.882,,37.875,37.882,,
P172,,37.9941,37.999,37.999,37.992,37.999,37.992,37.992,37.992,37.992,37.992,37.992
P173,,38.0942857142857,38.102,38.095,38.095,,38.095,,38.095,38.089,,38.089
P174,,38.1745,38.178,38.178,38.171,38.171,,38.171,,38.178,38.178,38.171
P175,,38.2703333333333,,38.275,,,,,,38.268,,38.268
P176,,38.4223333333333,38.426,,38.419,38.433,38.419,38.426,38.412,38.42,38.426,38.42
P177,C27_ene_NA,38.6057,38.613,38.626,38.606,38.612,38.606,38.606,38.592,38.592,38.612,38.592
P178,C27_ene_NA,38.7083,38.716,38.716,38.716,38.709,38.695,38.716,38.702,38.695,38.716,38.702
P179,,38.823,38.84,,,,38.806,,,,,
P180,C27_ane_NA,39.06,39.061,39.109,39.074,39.04,39.04,39.095,39.054,39.054,39.054,39.019
P181,,39.207125,39.219,39.226,39.212,39.198,39.205,,39.199,39.206,,39.192
P182,C27_Me_11;13-,39.4156,39.419,39.426,39.419,39.412,39.412,39.426,39.412,39.412,39.412,39.406
P183,,39.6518,39.661,39.661,39.654,39.654,39.661,39.667,39.654,39.64,39.619,39.647
P184,,39.8137777777778,39.833,39.764,39.819,39.826,39.833,39.833,39.833,39.757,,39.826
P185,,39.9788333333333,,39.998,39.971,39.978,39.964,39.998,,,,39.964
P186,,40.0672222222222,40.067,40.074,40.067,40.067,40.067,,40.06,40.068,40.067,40.068
P187,,40.143,40.143,,,,,,,,,
P188,,40.267,40.267,,,,,,,,,
P189,C28_ane_NA,40.3375,40.336,40.343,40.343,40.336,40.336,40.343,40.336,40.336,40.336,40.33
P190,,40.631,,,40.674,40.674,,,40.529,,40.647,
P191,,40.7584,40.764,40.764,40.757,40.764,40.757,40.757,40.757,40.757,40.757,40.75
P192,,40.84675,40.847,,40.847,40.846,,,,,,40.847
P193,,40.9959,40.998,40.998,40.991,40.998,40.991,40.998,40.998,40.998,40.998,40.991
P194,,41.098,,41.095,41.109,,41.095,,41.102,41.095,41.095,41.095
P195,,41.1987,41.191,41.233,41.184,41.246,41.184,41.198,41.184,41.198,41.191,41.178
P196,C29_ene_NA,41.3755,41.378,41.391,41.371,41.371,41.364,41.391,41.377,41.371,41.377,41.364
P197,C29_ene_NA,41.438,,,41.426,,41.419,41.481,,41.426,,
P198,C29_ane_NA,41.7306,41.743,41.75,41.757,41.722,41.729,41.736,41.729,41.722,41.702,41.716
P199,,41.9465,41.95,41.943,41.95,,41.943,,,,,
P200,C29_Me_11;13-,42.0894,42.088,42.095,42.088,42.088,42.088,42.088,42.088,42.088,42.095,42.088
P201,,42.343,,,,,,42.343,,,,
P202,,42.4677,42.474,42.467,42.467,42.474,42.481,42.467,42.467,42.446,42.46,42.474
P203,,42.6947777777778,42.736,42.695,42.688,42.681,,42.681,42.688,42.688,42.694,42.702
P204,,42.8579,42.86,42.86,42.86,42.853,42.86,42.853,42.86,42.86,42.853,42.86
P205,C30_ane_NA,42.9756,42.977,42.977,42.977,42.977,42.977,42.977,42.977,42.97,42.977,42.97
P206,,43.1735,,,,43.177,,,43.17,,,
P207,,43.361,43.363,43.37,43.356,43.356,43.37,43.343,43.37,43.357,,43.364
P208,,43.504,43.501,43.522,43.501,43.501,43.508,43.494,,,,43.501
P209,C31_diene_NA,43.6401666666667,,43.646,43.646,,,43.639,43.639,43.639,43.632,
P210,C31_diene_NA,43.7318,43.736,43.736,43.736,43.729,43.729,43.729,43.736,43.729,43.729,43.729
P211,C31_ene_NA,43.9442,43.963,43.956,43.956,43.943,43.95,43.937,43.943,43.943,43.922,43.929
P212,C31_ene_NA,44.0334,44.046,44.046,44.046,44.032,44.039,44.025,44.032,44.032,44.011,44.025
P213,,44.129,,,,,44.129,,,,,
P214,C31_ane_NA,44.2627,44.274,44.274,44.28,44.267,44.26,44.253,44.274,44.253,44.239,44.253
P215,,44.522,44.522,,,,,,,,,
P216,C31_Me_13;15-,44.6054,44.605,44.605,44.605,44.604,44.605,44.604,44.605,44.612,44.604,44.605
P217,,44.708,44.687,,,,,,,,,44.729
P218,,44.8735,,44.874,44.873,,,,,,,
P219,,44.932375,44.936,,44.929,44.929,44.936,44.935,44.936,44.929,,44.929
P220,,45.005,45.005,,,,,,,,,
P221,C32_ene_NA,45.1915,45.205,45.204,45.204,45.191,45.184,45.184,45.198,45.191,45.163,45.191
P222,,45.33875,45.336,45.342,,,,45.335,,45.342,,
P223,,45.4076,45.411,45.411,45.411,45.404,45.411,45.397,45.411,45.411,45.404,45.405
P224,,45.623,45.632,45.625,45.632,45.632,45.625,45.632,45.632,45.625,45.577,45.618
P225,,45.8138333333333,,45.853,,,45.784,45.825,45.791,45.777,,45.853
P226,C33_diene_NA,46.1237,46.135,46.122,46.128,46.128,46.128,46.122,46.122,46.122,46.115,46.115
P227,C33_ene_NA,46.3932,46.418,46.404,46.411,46.397,46.404,46.384,46.39,46.384,46.363,46.377
P228,,46.4702,46.473,,,,46.473,,46.466,46.473,46.466,
P229,C33_ane_NA,46.6404,46.646,46.639,46.646,46.646,46.646,46.639,46.639,46.639,46.632,46.632
P230,,46.7943,46.804,46.797,46.797,46.79,46.797,46.79,46.797,46.797,46.79,46.784
P231,,47.011,47.018,47.011,47.018,47.011,47.011,47.004,47.011,47.011,,47.004
P232,,47.135,47.142,,47.135,,,,,47.142,47.135,47.121
P233,,47.2522222222222,47.252,47.259,47.266,47.252,47.266,47.211,47.259,47.246,,47.259
P234,,47.4353333333333,47.446,47.452,47.459,47.376,47.452,47.459,47.459,47.452,,47.363
P235,,47.6648333333333,47.673,,47.666,47.659,47.666,47.659,,,,47.666
P236,,47.7915555555556,47.79,47.79,47.79,47.79,47.79,47.79,47.797,47.79,47.797,
P237,,48.3761,48.376,48.376,48.383,48.376,48.383,48.369,48.376,48.383,48.369,48.37
P238,,48.5892222222222,48.597,48.597,48.59,48.583,48.59,48.59,48.59,48.583,,48.583
P239,,48.8544444444444,48.859,48.852,48.845,48.845,48.88,48.873,48.838,48.825,,48.873
P240,,49.214,49.197,,,,,,,,49.231,
P241,,49.8874285714286,49.893,49.88,49.88,49.886,49.9,,49.886,49.887,,
P242,,50.0203333333333,50.024,50.017,50.011,50.024,50.017,50.024,50.031,50.024,,50.011
P243,,50.7555,50.742,,50.797,50.741,50.728,,,,50.797,50.728
P244,,51.4275,,,51.486,,,,,,,51.369
P245,,52.1557777777778,52.169,52.148,52.155,52.155,52.169,52.162,52.155,52.148,,52.141
P246,,52.51,52.5,,,,52.52,,,,,
P247,,52.741,,,,,,,,,52.741,
P248,,53.723,53.789,,53.651,,,53.762,,53.707,53.706,
P249,,55.148,,,,,,,,,55.148,
P250,,55.8338888888889,55.892,55.892,55.761,,55.899,55.906,55.878,55.782,55.803,55.692
P251,,56.43,56.437,56.43,56.423,,56.437,,56.423,56.43,,
P252,,56.685,,,,56.685,,,,,,
P253,,57.5885,,,,,,57.533,,,57.644,
