Compound,Class,Chain.length,RI,Mod.position,Fly_020.x,Fly_005.x,Fly_016.x,Fly_017.x,Fly_018.x,Fly_002.x,Fly_004.x,Fly_006.x,Fly_001.x,Fly_019.x,Fly_001.y,Fly_002.y,Fly_004.y,Fly_005.y,Fly_006.y,Fly_016.y,Fly_017.y,Fly_018.y,Fly_019.y,Fly_020.y,Fly_009.x,Fly_010.x,Fly_008.x,Fly_007.x,Fly_011.x,Fly_013.x,Fly_014.x,Fly_012.x,Fly_015.x,Fly_003.x,Fly_003.y,Fly_007.y,Fly_008.y,Fly_009.y,Fly_010.y,Fly_011.y,Fly_012.y,Fly_013.y,Fly_014.y,Fly_015.y,Fly_026.x,Fly_032.x,Fly_025.x,Fly_021.x,Fly_023.x,Fly_031.x,Fly_035.x,Fly_036.x,Fly_024.x,Fly_034.x,Fly_021.y,Fly_023.y,Fly_024.y,Fly_025.y,Fly_026.y,Fly_031.y,Fly_032.y,Fly_034.y,Fly_035.y,Fly_036.y,Fly_027.x,Fly_029.x,Fly_039.x,Fly_037.x,Fly_028.x,Fly_040.x,Fly_030.x,Fly_022.x,Fly_033.x,Fly_038.x,Fly_022.y,Fly_027.y,Fly_028.y,Fly_029.y,Fly_030.y,Fly_033.y,Fly_037.y,Fly_038.y,Fly_039.y,Fly_040.y
C21:ene,Alkene,21,2071,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.938,28.931,28.938,28.938,28.945,28.931,28.931,28.938,28.945,28.931,0.04919432270599175,0.01854972626023331,0.03943076234400221,0,0.038713081346105495,0,0.03734395030624645,0.02193799757552529,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.938,28.938,28.938,28.945,28.938,28.938,28.945,28.945,28.931,28.938,0.9816291811285001,0.1792379458830853,0.21593686033573598,0.1266919583326238,0.3773767293267513,0.2025875516592778,0.22891068597395905,0.28731419406362596,0.24320394859081795,0.3811076755126254
C21:ene,Alkene,21,2072,"NA",28.931,28.938,28.938,28.938,28.931,28.938,28.938,28.938,28.931,28.931,0.09117636703527518,0.026588268500543886,0.05331813331666453,0.07946712697263618,0.04695188247241321,0.04697028386350511,0.027446418907826127,0.02695373221790259,0.03946997282336037,0.037762268358937194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21:ene,Alkene,21,2073,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.938,28.952,28.938,28.938,28.945,28.938,28.938,28.938,28.938,28.938,0.26006395112319786,0.3010401296129938,0.20372616084589562,0.23254460141147199,0.16428655922423638,0.10854342056986158,0.12287187957227166,0.14641795059502355,0.20600196458933684,0.20193111552359272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21:ene,Alkene,21,2077,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.042,NA,29.041,29.048,29.042,29.042,29.042,29.042,29.042,29.042,0.022848242134863306,0.040606307145965824,0,0,0.027742347880158794,0.10284768176433678,0.021279411200020873,0.037031721669825934,0.03961698009564172,0.04486520140032634
C21:ene,Alkene,21,2078,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.042,29,29.042,29.042,29.042,29.042,29.042,29.042,29.042,29.042,0.12156936142652232,0.017297291505254636,0.08679425753763509,0.061515867729239004,0.03835680916373077,0.025223392817448512,0.26503846579365176,0.04655497313990019,0.03424006591605926,0.04689152614813452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21,Alkane,21,2100,"NA",29.442,29.455,29.442,29.435,29.442,29.435,29.448,29.449,29.435,29.428,2.9800370785395938,1.6562541321295172,4.3419282117887015,2.9120800031049545,4.997322876619452,1.705291968740963,1.1769663510979869,2.498389263491024,1.2021385161518974,1.3434683725289527,29.504,29.469,29.476,29.517,29.449,29.442,29.448,29.49,29.455,29.435,2.062804129313041,12.106362927573757,7.456620572845781,13.705744720987875,7.733579113813441,9.256023123685198,18.648674984582726,3.658069404334536,9.694800572619073,16.142142865712845,29.455,29.448,29.448,29.442,29.449,29.435,29.441,29.435,29.455,29.435,1.0892316383005998,2.017722910206357,2.993999800271533,1.0722300488910446,1.3257921024252213,0.8019262867469656,1.0833891595676817,1.2120131642611451,1.631453312678216,1.165179586935799,29.504,29.504,29.496,29.497,29.49,29.455,29.462,29.441,29.476,29.441,1.536783746422899,6.065464839618002,10.538260624621302,14.042788288158018,4.430820901089421,10.579646973703696,6.905126953738424,1.67666479187586,9.58955769245674,2.1154914520124537
C22:ene,Alkene,22,2171,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.669,30.662,30.676,30.676,NA,30.696,30.71,NA,30.669,30.696,0,0.09583352024859045,0,0.2704357922824131,0.03693886374556063,0.13968424383916406,0.18367404666273887,0.04356972143233857,0.21185735904304775,0.04805087266817633
C22:ene,Alkene,22,2172,"NA",30.697,30.697,30.703,30.696,30.697,30.703,30.69,30.697,30.696,30.697,0.0399214769362927,0.029132425808122142,0.018772873522787368,0.04798870494100292,0.017587209959745963,0.041613412140457856,0.048633853983025034,0.026228595462950238,0.042682198696228135,0.04903926174191441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.703,NA,30.703,30.697,30.697,30.697,30.696,30.696,30.696,30.697,0.05890403037112189,0.06601343365375446,0.07334103234849457,0.07903020841957788,0.04928606770893407,0.028679461393182015,0,0.04927063380268681,0.03928665272574906,0.0767158618654423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C22:ene,Alkene,22,2179,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.828,30.944,30.814,30.814,30.841,30.814,30.848,30.814,30.807,30.828,0.014992319410175314,0.02386013025905401,0.025358731031770963,0.016814832178901826,0.0193896009102504,0,0,0.014712992743868999,0,0.011681038835655884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C22:ene,Alkene,22,2186,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.959,30.945,30.945,30.938,30.945,30.931,30.938,NA,30.938,NA,0,0,0.08233334917980432,0.4586774723628866,0.029801230886486684,0.26158592634730266,0,0.0523789760498852,0.11533481904190875,0.15903429623302592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.952,30.952,30.951,30.952,30.945,NA,30.945,NA,30.938,NA,0,0.15632748556797307,0.22302285440413105,0.21892918329684757,0.049967019065009076,0.12039055109197302,0.13903275563831533,0,0.1918076766254548,0
